"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CHGB",2.61774298694047e-32,-0.278396329797971,0.907,0.601,4.1512168286902e-28
"GPX3",3.53462523367958e-32,-0.778120849153513,0.602,0.598,5.60520869556907e-28
"RPL35",3.78004492055657e-32,-0.288235218162547,0.985,0.983,5.99439523501862e-28
"REG3A",6.25121011736377e-32,-2.64949328886593,0.054,0.14,9.91316900411547e-28
"CRYBA2",9.35639202829234e-32,-0.753343866589213,0.148,0.246,1.4837366478466e-27
"BTF3",1.38205330072522e-31,-0.258130149088579,0.764,0.822,2.19166012429005e-27
"SERP1",1.96694653959753e-31,0.268480072341809,0.727,0.623,3.11918382249376e-27
"VWA1",2.2312610932172e-31,-0.423505685764267,0.346,0.452,3.53833384162384e-27
"CCT5",2.58950923135892e-31,-0.253896718562289,0.253,0.373,4.10644373908897e-27
"MAT2A",3.37631563833609e-31,-0.266904102754083,0.286,0.406,5.35416133927336e-27
"CAPN1",8.19658570367671e-31,-0.268133010898673,0.316,0.435,1.29981456088905e-26
"RHOA",9.17171240210519e-31,-0.274838530259943,0.858,0.893,1.45445015272584e-26
"RAB2A",9.96125025095197e-31,0.255147012313956,0.651,0.541,1.57965506479596e-26
"GNB2L1",1.31779992351012e-30,-0.257894258081449,0.982,0.978,2.08976711870234e-26
"SELM",1.64972030746976e-30,-0.281638697928745,0.286,0.409,2.61612646358555e-26
"CCT2",2.94412213330741e-30,-0.250341444532097,0.272,0.397,4.66878887899888e-26
"SCARB2",4.89341656066701e-30,0.267678864120144,0.756,0.654,7.75997998190575e-26
"STK24",5.19654419957521e-30,-0.290378509037832,0.25,0.365,8.24067979168636e-26
"TUBA1C",5.86758770729682e-30,-0.484471310715972,0.43,0.515,9.3048205862313e-26
"HN1",6.86229254178026e-30,-0.315565487961959,0.226,0.338,1.08822235127551e-25
"HNRNPAB",1.3540225386592e-29,-0.266002052586173,0.34,0.456,2.14720894180576e-25
"TP53I11",1.96168872745207e-29,-0.29543057042003,0.082,0.175,3.11084598399349e-25
"ERRFI1",4.54716982849128e-29,-0.347736217290606,0.155,0.259,7.21090191402147e-25
"RGS4",6.04390052343185e-29,-0.676048343661882,0.245,0.335,9.58441745005822e-25
"RTN4",6.17155308826353e-29,0.254831323949238,0.824,0.726,9.7868488873683e-25
"CTNND1",6.45312655540483e-29,-0.288334033614948,0.347,0.459,1.0233368091561e-24
"TNFAIP3",2.31745799979688e-28,-0.321848950330132,0.076,0.164,3.67502489607789e-24
"CDKN1A",3.83272523331629e-28,0.335181624756796,0.59,0.46,6.07793567499297e-24
"NR4A1",8.9190531027542e-28,-0.363886219268743,0.201,0.306,1.41438344103476e-23
